density,mean_runtime_s,std_runtime_s
1.000000000000000056e-01,4.654162499999999909e+02,3.728026946880455661e+00
2.000000000000000111e-01,8.042380000000000564e+02,4.264975261647676348e+02
2.999999999999999889e-01,8.948397499999999809e+02,3.402994868615732003e+02
4.000000000000000222e-01,5.102610000000000241e+02,7.478924120486855287e+00
5.000000000000000000e-01,5.193827499999999873e+02,6.485716016755607605e+00
5.999999999999999778e-01,5.321014999999999873e+02,6.626600209257666130e+00
6.999999999999999556e-01,5.347245000000000346e+02,5.913018715794306601e+00
8.000000000000000444e-01,5.399809999999999945e+02,5.319291744834724334e+00
9.000000000000000222e-01,5.425674999999999955e+02,6.641452476680060890e+00
